YearMonth,PM2.5,PM10
2021-12,,43.5
2022-1,,21.482758620689655
2022-10,9.923376623376624,27.647058823529413
2022-11,18.821739130434782,39.82608695652174
2022-12,9.421052631578947,15.631578947368421
2022-2,14.8375,38.19230769230769
2022-3,13.220338983050848,29.610169491525422
2022-4,10.658333333333333,27.25
2022-5,10.72439024390244,27.536585365853657
2022-6,10.1,26.363636363636363
2022-8,6.605882352941176,20.235294117647058
2022-9,5.34,23.285714285714285
2023-1,7.430120481927712,18.903614457831324
2023-10,6.23,20.966666666666665
2023-11,16.0,43.38461538461539
2023-12,13.4056338028169,28.591549295774648
2023-2,10.240384615384615,20.76923076923077
2023-3,7.2290909090909095,11.272727272727273
2023-4,12.680722891566266,25.650602409638555
2023-5,4.9245283018867925,7.923076923076923
2023-6,6.404347826086957,11.58695652173913
2023-8,9.138461538461538,18.53846153846154
2023-9,11.20813953488372,21.823529411764707
2024-1,12.973228346456692,22.25984251968504
2024-10,11.9,28.346938775510203
2024-11,13.098076923076924,34.63461538461539
2024-12,21.275409836065574,38.442622950819676
2024-2,6.419148936170212,12.787234042553191
2024-3,5.784507042253521,16.197183098591548
2024-4,7.008196721311475,17.65573770491803
2024-5,8.182926829268293,26.75609756097561
2024-6,7.369387755102041,14.53191489361702
2024-8,7.325,25.5
2024-9,7.71530612244898,22.479591836734695
